,SMILES,pki
269,Cc1ccc2c(c1)-c1nc(N)nc(-c3ccc(C)o3)c1C2,8.14874
270,CCCn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccon4)cc3)cc2n(CCC)c1=O,7.65956
271,O=C(c1nccs1)c1nc(NCc2cccnc2)nc2ccsc12,6.13549
272,Nc1nc2c(cnn2CC[NH+]2CCc3ncccc3C2)c2nc(-c3ccco3)nn12,8.31876
273,CC(C)Cn1c(=O)c2[nH]c(-c3cn[nH]c3)nc2n(C)c1=O,5.85699
274,Cc1ccc2c(O)c(C(=O)NN3CCOCC3)cnc2n1,5.06248
275,COCC1CCCN1c1cc(N)nc(-n2nc(C)cc2C)n1,6.58336
276,Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.77211
277,c1ccc(Nc2nc3ncnc-3c(NC3CCCCC3)[nH]2)cc1,5.76955
278,Nc1nc(C(=O)NCc2ccccn2)cc(-c2cccc(Cl)c2)n1,7.50864
279,CCN(CC)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,6.55752
280,Nc1nc2c(cnn2CC[NH+]2CCN(c3ccc(Cl)cc3)CC2)c2nc(-c3ccco3)nn12,9.30103
281,CC(=O)Nc1cc(N2CCCC2)nc(-n2nc(C)cc2C)n1,6.95861
282,COc1ccc(CCCN(C)c2cc3nc(-c4ccco4)nn3c(N)n2)cc1,8.24413
283,Nc1nc(C(=O)NCc2ccc(F)cc2)cc(-c2ccco2)n1,7.69897
284,Cc1ccc(CNC(=O)n2cnc3c(-c4ccco4)nc(N)nc32)cc1,9.0
285,c1csc(-c2nc(C3CC3)nc3ccsc23)n1,8.48149
286,Cc1cc2c(c(C)c1O)c1ccncc1n2C,4.09367
287,O=C(c1cccs1)c1nc(NCCO)nc2ccsc12,8.36653
288,Cc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,5.1053
289,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccccn4)cc3)cc2n(C)c1=O,6.3098
290,CC1CCCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.20761
