,kappa1,kappa2,kappa3,kappam1,kappam2,kappam3,phi
397,30.031,14.411,8.323,29.652,14.119,8.117,13.083018375
398,30.225,13.517,7.998,30.921,14.019,8.354,12.749455852941177
399,39.18,17.237,8.878,38.781,16.952,8.699,15.288732837209302
400,15.879,7.051,3.673,13.434,5.444,2.676,3.482604571428571
401,12.457,4.704,2.204,10.661,3.622,1.592,2.4133838749999996
402,13.432,6.805,4.302,11.349,5.268,3.154,3.5168548235294117
403,19.753,9.274,5.258,18.558,8.434,4.689,6.26072688
404,8.1,4.0,2.286,6.697,2.932,1.527,1.9635604
405,21.703,9.212,4.452,18.626,7.222,3.298,4.9821100740740745
406,12.457,6.074,3.25,10.854,4.917,2.493,3.3355698749999996
407,12.071,6.478,4.388,10.729,5.395,3.513,4.134496785714285
408,37.321,16.99,8.708,33.152,14.242,7.045,9.635730285714287
409,39.781,18.478,11.243,35.729,15.647,9.245,11.894716234042553
410,13.648,5.325,2.391,11.732,4.214,1.796,2.4719324
411,12.457,5.104,2.204,11.62,4.559,1.909,3.31097375
412,15.39,7.136,3.986,13.022,5.482,2.881,3.757189684210527
413,13.959,5.413,2.178,11.649,4.049,1.51,2.4824632105263156
414,11.111,5.104,2.488,8.9,3.651,1.638,2.03086875
415,18.367,7.935,3.575,15.966,6.408,2.743,4.0924051200000005
