,AWeight,PC1,PC2,PC3,PC4,PC5,PC6,Weight,naccr,naro,ncarb,ncobr,ncocl,ncof,ncoi,ndb,ndonr,nhal,nhet,nhev,nhyd,nnitro,noxy,nphos,nring,nrot,nsb,nsulph,nta,ntb
147,17.309,9,12,11,9,4,0,173.089,4,0,4,0,0,0,0,2,1,0,6,10,10,1,3,1,0,3,7,3,20,0
148,12.918,11,14,14,16,18,13,142.093,2,6,8,0,0,0,0,1,2,0,3,11,9,1,2,0,1,1,4,2,20,0
149,17.667,15,22,23,26,32,31,265.012,3,6,8,0,0,0,0,2,4,0,7,15,10,1,5,0,1,2,7,5,25,0
150,16.631,13,19,19,22,22,23,216.203,6,5,4,0,0,0,0,3,2,0,9,13,6,4,3,0,1,2,5,3,19,0
151,13.867,18,23,30,37,42,36,249.612,2,6,14,0,1,0,0,1,0,1,4,18,20,1,2,0,1,6,11,2,38,0
152,13.829,23,32,37,43,47,50,304.242,4,6,15,0,0,0,0,4,2,0,7,22,20,2,4,0,2,4,13,4,42,0
153,14.005,4,4,2,0,0,0,70.027,2,0,2,0,0,0,0,1,2,0,3,5,5,1,2,0,0,0,3,2,10,0
154,13.174,11,14,12,13,12,4,158.092,2,0,8,0,0,0,0,2,2,0,4,12,15,1,3,0,0,4,9,3,27,0
155,12.942,15,19,20,23,26,19,194.125,2,6,11,0,0,0,0,2,2,0,4,15,13,1,3,0,1,4,7,3,28,0
156,12.897,19,26,32,41,48,49,232.154,2,10,13,0,0,0,0,2,3,0,5,18,14,2,3,0,2,4,7,3,32,0
157,12.41,17,24,34,46,60,63,186.149,1,16,13,0,0,0,0,1,1,0,2,15,9,1,1,0,3,0,0,1,24,0
158,13.008,14,18,18,22,24,21,182.114,2,6,10,0,0,0,0,2,2,0,4,14,11,1,3,0,1,3,6,3,25,0
159,12.971,27,35,43,50,53,53,350.225,5,0,19,0,0,0,0,3,4,0,8,27,35,3,5,0,1,11,24,5,62,0
160,13.382,17,23,30,40,47,52,214.12,7,10,8,0,0,0,0,1,3,0,8,16,11,5,3,0,2,4,6,3,27,0
161,12.233,20,28,37,47,63,66,220.19,2,17,16,0,0,0,0,0,0,0,2,18,14,2,0,0,3,1,3,0,32,0
162,12.866,14,18,21,22,25,22,180.122,4,6,10,0,0,0,0,1,2,0,4,14,6,2,2,0,1,1,5,2,20,2
163,12.908,21,28,34,38,46,44,258.168,5,12,15,0,0,0,0,1,3,0,5,20,15,1,4,0,2,4,8,4,35,0
164,13.867,18,23,31,39,45,38,249.612,2,6,14,0,1,0,0,1,0,1,4,18,20,1,2,0,1,6,11,2,38,0
165,13.901,19,25,31,40,49,56,250.218,4,10,12,0,0,0,0,1,2,0,6,18,15,3,2,0,2,4,8,2,33,0
166,13.208,11,15,20,25,25,23,132.082,3,9,5,0,0,0,0,1,2,0,5,10,4,4,1,0,2,0,1,1,14,0
167,13.852,13,18,24,26,28,24,180.071,6,0,7,0,0,0,0,0,4,0,6,13,14,0,6,0,1,2,13,6,27,0
168,12.363,35,49,58,72,92,106,420.338,3,6,31,0,0,0,0,1,0,0,3,34,52,0,3,0,2,13,28,3,86,0
169,16.809,23,35,42,56,70,90,369.792,6,6,11,0,1,0,0,5,3,1,11,22,14,3,4,0,2,5,12,4,36,0
170,12.809,15,21,24,27,36,34,192.141,6,6,9,0,0,0,0,0,0,0,6,15,18,6,0,0,1,3,9,0,33,0
171,19.998,19,26,31,36,43,39,359.964,3,6,13,2,0,0,0,0,3,2,5,18,18,2,1,0,2,3,13,1,36,0
172,12.343,27,38,52,69,87,95,296.244,3,12,21,0,0,0,0,0,1,0,3,24,26,2,1,0,4,4,15,1,50,0
173,12.715,18,26,35,42,50,51,216.155,3,6,13,0,0,0,0,2,2,0,4,17,16,2,2,0,2,2,10,2,33,0
174,13.151,14,18,19,20,24,21,184.11,3,6,9,0,0,0,0,2,3,0,5,14,10,2,3,0,1,3,6,3,24,0
175,12.676,16,23,32,40,44,41,190.141,4,11,11,0,0,0,0,1,1,0,4,15,13,3,1,0,2,1,4,1,28,0
176,13.239,14,21,30,37,41,42,172.103,5,10,7,0,0,0,0,2,1,0,6,13,8,4,2,0,2,0,2,2,21,0
177,13.703,29,39,53,73,96,112,383.682,7,6,20,0,1,0,0,4,2,1,8,28,25,2,5,0,2,8,19,5,53,0
178,13.348,27,37,48,61,79,84,333.693,4,17,20,0,1,0,0,0,2,1,5,25,22,3,1,0,3,6,10,1,47,0
179,13.53,25,35,48,66,92,107,297.66,4,12,17,0,1,0,0,1,1,1,5,22,16,3,1,0,4,0,12,1,38,0
180,12.344,13,16,20,24,28,22,148.124,2,6,10,0,0,0,0,0,1,0,2,12,14,2,0,0,2,1,7,0,26,0
181,12.883,17,23,30,35,37,38,206.136,3,6,12,0,0,0,0,2,0,0,4,16,13,1,3,0,2,2,9,3,29,0
182,12.641,21,30,43,58,72,80,240.173,3,12,16,0,0,0,0,2,0,0,3,19,12,0,3,0,3,2,7,3,31,0
183,12.956,20,27,33,41,48,47,246.157,5,6,14,0,0,0,0,1,2,0,5,19,19,1,4,0,2,4,13,4,38,0
184,12.715,19,28,40,56,70,80,216.151,3,12,14,0,0,0,0,1,2,0,3,17,10,0,3,0,3,0,6,3,27,0
185,12.974,33,49,73,106,143,184,376.235,7,12,22,0,0,0,0,1,0,0,7,29,22,0,7,0,5,4,20,7,51,0
186,12.581,15,21,28,36,38,34,176.134,3,11,11,0,0,0,0,1,0,0,3,14,12,2,1,0,2,1,3,1,26,0
187,13.008,12,16,19,20,23,20,156.096,3,6,9,0,0,0,0,1,1,0,3,12,10,0,3,0,1,2,5,3,22,0
