,AW,Arto,BertzCT,DZ,GMTI,Geto,Hato,Ipc,J,MZM1,MZM2,Platt,Pol,Qindex,Sito,Thara,Tigdi,Tsch,W,Xu,ZM1,ZM2,diametert,petitjeant,radiust
35,2.357,1.75,2.125,20.667,2.201,1.488,1.315,1.362,3.74,5.424,0.453,20,5.0,4.0,1.38,15.167,2.322,242.0,66.0,7.752,34,32,4.0,0.5,2.0
36,3.106,2.0,2.486,28.0,2.854,1.817,1.636,2.624,2.893,5.444,0.686,32,14.0,7.0,3.113,29.686,2.889,826.0,205.0,12.125,56,61,7.0,0.429,4.0
37,3.167,1.778,1.92,20.5,2.505,1.661,1.543,1.928,2.829,4.361,0.75,16,6.0,1.0,1.982,16.836,2.338,416.0,114.0,9.644,32,30,7.0,0.429,4.0
38,2.107,2.0,2.18,18.5,2.294,1.795,1.6,1.824,2.729,3.833,0.457,22,7.0,6.0,2.033,16.333,2.377,256.0,59.0,7.468,38,42,4.0,0.25,3.0
39,2.179,2.0,2.359,18.5,2.338,1.861,1.714,1.807,3.277,3.222,0.458,20,7.0,5.0,2.158,16.083,2.346,268.0,61.0,7.614,36,38,4.0,0.25,3.0
40,3.617,2.125,2.636,37.5,3.241,1.958,1.778,3.723,2.233,6.167,0.933,48,23.0,12.0,4.669,47.703,3.333,1828.0,434.0,15.894,82,96,9.0,0.444,5.0
41,2.618,2.182,2.464,24.0,2.805,2.097,2.0,2.688,2.414,3.083,0.54,32,14.0,9.0,3.539,27.633,2.831,664.0,144.0,10.797,56,64,6.0,0.5,3.0
42,3.811,2.3,2.761,42.0,3.546,2.151,1.983,4.796,1.728,6.09,0.864,72,39.0,22.0,6.651,71.7,3.716,3315.0,724.0,19.112,118,148,10.0,0.5,5.0
43,2.844,1.8,2.145,23.0,2.533,1.597,1.429,2.084,3.823,5.833,0.809,22,11.0,3.0,2.033,21.3,2.61,462.0,128.0,10.128,40,42,6.0,0.5,3.0
44,2.636,2.0,2.015,26.0,2.756,1.732,1.5,2.619,2.76,6.667,0.741,36,21.0,9.0,2.863,31.6,3.026,696.0,174.0,11.444,60,72,5.0,0.2,4.0
45,5.1,1.9,2.59,47.5,3.496,1.712,1.538,4.136,4.209,10.167,1.372,48,24.0,6.0,4.669,59.253,3.557,3582.0,969.0,20.404,86,91,12.0,0.5,6.0
46,2.393,2.0,2.125,17.5,2.382,1.929,1.846,2.03,2.5,2.611,0.583,18,5.0,4.0,2.283,15.567,2.279,290.0,67.0,7.942,34,36,5.0,0.4,3.0
47,3.09,2.154,2.648,28.5,3.0,2.037,1.902,3.159,2.514,4.194,0.664,38,16.0,10.0,4.016,35.002,3.038,1054.0,241.0,12.975,66,76,7.0,0.429,4.0
48,3.514,2.133,2.722,33.5,3.178,1.993,1.837,3.572,2.366,5.306,0.787,44,20.0,11.0,4.493,42.957,3.229,1576.0,369.0,15.031,76,88,8.0,0.5,4.0
49,3.842,2.211,2.815,45.0,3.458,2.05,1.869,4.547,2.06,6.639,1.052,62,32.0,17.0,5.924,63.946,3.616,2862.0,657.0,18.383,104,128,9.0,0.444,5.0
